Satisfaction,Observation,5ghi,2ghi,5gcm,5gcs,Alph,Acppc,Tobl,Blp10al,Macppc,Po5co5,Rmph,Rsph,Stco,Trcpc,Tume,Umempd,Umegmpd,Waps,War,Eain,Eaua,strn
Satisfied,18,Yes,No,0,0,588,0.33,0,0,1,No,4+,6,2,1,5,3,3,489,1467,Don't know,Don't know,No
Unsatisfied,19,No,No,0,0,11465,1.4,0.12,0.11,3,No,4+,14,7,7,0,0,0,6.5,52,0,Don't know,No
Somewhat Satisfied,20,No,No,0,0,8466,2,0.47,0.56,2,Yes,4+,4,11,2,0,0,0,88.92,1067,6,7,Yes
Unsatisfied,21,No,No,1,2,14568,0,2.45,1.68,0,No,3-Feb,2,6,0,2,2,2,87.14,610,6,5,No
Satisfied,22,No,No,4+,4,4107,2,0.36,0.88,2,No,3-Feb,2,5,2,0,0,0,63.83,383,10,Don't know,No
Unsatisfied,23,No,No,1,3,36180,2.33,4.5,1.24,7,No,3-Feb,2,26,7,0,0,0,657.89,17763,5,5,Yes
Unsatisfied,24,No,Yes,4+,17,26868,1,6.08,2.26,1,No,3-Feb,3,8,3,12,11,3,85,765,10,5,No
Unsatisfied,25,No,No,0,0,35857,1.5,4.43,1.24,4,No,3-Feb,2,16,6,1,1,1,110.29,1875,1,1,Yes
Somewhat Satisfied,26,No,No,0,0,31467,3.33,34.78,11.05,4,Yes,3-Feb,3,15,10,0,0,0,1773.88,28382,Don't know,,No
Unsatisfied,27,No,No,1,1,3516,0,11.69,33.23,0,No,3-Feb,3,10,0,0,0,0,1099.45,12094,7,7,No
Satisfied,28,No,No,1,3,6177,0.33,0.26,0.42,1,No,3-Feb,1,3,1,0,0,0,972.25,3889,9,Don't know,No
Satisfied,29,No,No,0,0,19774,0,2.42,1.22,0,No,3-Feb,2,8,0,0,0,0,134.78,1213,3,7,No
Satisfied,30,No,No,2,11,57852,1,15.17,2.62,2,No,3-Feb,1,10,6,5,1,1,2428.36,26712,5,8,No
Unsatisfied,31,No,No,0,0,7296,2.33,0.34,0.47,6,No,3-Feb,4,13,7,1,1,1,335.93,4703,1,0,No
Unsatisfied,32,No,No,0,0,75261,3.67,26.41,3.51,5,No,3-Feb,1,18,11,0,0,0,328.68,6245,5,4,Yes
Unsatisfied,33,No,No,0,0,16101,3.33,13.13,8.15,6,Yes,3-Feb,1,16,10,0,0,0,1933.41,32868,3,5,No
Unsatisfied,34,No,No,1,3,68157,2.33,382.91,56.18,4,Yes,3-Feb,1,12,7,2,1,1,247.77,3221,0,0,Yes
Satisfied,35,No,No,0,0,7812,2,11.07,14.17,3,No,3-Feb,2,9,6,0,0,0,2467.3,24673,1,3,No
Somewhat Satisfied,36,No,No,2,5,42480,1,1.87,0.44,3,No,3-Feb,2,10,3,3,2,2,233.73,2571,,,No
Satisfied,37,No,No,0,0,45963,0,0.98,0.21,0,No,3-Feb,1,3,0,1,1,1,23.25,93,8,Don't know,No
Somewhat Satisfied,38,No,No,0,0,8082,0.33,0.65,0.8,1,No,3-Feb,1,5,1,2,1,1,723.67,4342,3,Don't know,No
Satisfied,39,No,No,0,0,36498,5,4.3,1.18,7,No,3-Feb,15,18,10,0,0,0,909.42,17279,8,9,Yes
Somewhat Satisfied,40,No,Yes,0,0,50184,1.33,26.05,5.19,3,No,3-Feb,1,25,4,0,0,0,608.85,15830,6,6,Yes
Unsatisfied,41,No,No,0,0,24405,0.67,0.83,0.34,1,No,3-Feb,1,27,2,0,0,0,113.43,3176,2,2,Yes
Satisfied,42,No,No,1,1,14022,0.33,3.58,2.56,1,No,3-Feb,3,6,1,0,0,0,596,4172,7,6,No
Somewhat Satisfied,43,,,,,,,,,,No,3-Feb,15,,,0,0,0,9841,9841,7,3,Yes
Satisfied,44,No,No,1,3,9705,1.67,80.36,82.79,3,Yes,3-Feb,2,15,5,2,1,1,795.06,12721,10,8,No
Somewhat Satisfied,45,Yes,No,0,0,13269,14,17.22,12.98,14,Yes,3-Feb,1,47,14,0,0,0,45.48,2183,,,No
Unsatisfied,46,No,No,0,0,3472,3,0.07,0.2,3,No,3-Feb,2,5,3,0,0,0,40.67,244,0,6,No
Unsatisfied,47,No,No,0,0,1742,1,0.08,0.43,1,No,3-Feb,1,6,1,0,0,0,2,14,2,Don't know,No
Unsatisfied,48,No,No,0,0,72078,2,45.51,6.31,6,No,3-Feb,2,28,6,1,1,1,283.24,8214,1,10,No
Somewhat Satisfied,49,No,No,0,0,35184,2.67,39.62,11.26,4,Yes,3-Feb,1,14,8,0,0,0,13.33,200,3,2,No
Somewhat Satisfied,50,No,Yes,2,10,173028,1,181.52,10.49,4,Yes,3-Feb,4,21,6,4,1,1,139.32,3065,8,9,No
Somewhat Satisfied,51,Yes,No,2,7,143992,2.75,11.68,0.81,6,Yes,3-Feb,2,32,11,7,3,3,847.85,27979,5,Don't know,Yes
Unsatisfied,52,No,No,2,9,24420,1,5.1,2.09,3,No,3-Feb,2,12,5,4,1,1,744.85,9683,6,2,No
